sample_index,question,answer,ground_truth,num_contexts,contexts,faithfulness
0,Bệnh ngoại cảm theo Đông y được định nghĩa như thế nào?,"Xin lỗi, tôi không tìm được thông tin phù hợp trong cơ sở tri thức hiện có.","Bệnh ngoại cảm là những bệnh phát sinh do cơ thể không thích ứng được với các yếu tố môi trường bên ngoài, khi khí hậu và thời tiết trở nên thái quá hoặc trái thường, vượt quá khả năng thích nghi của con người.",0,,
1,Lục khí bao gồm những loại khí hậu nào trong tự nhiên?,"Xin lỗi, tôi không tìm được thông tin phù hợp trong cơ sở tri thức hiện có.","Lục khí bao gồm 6 loại khí hậu: Phong, Hàn, Thử, Thấp, Táo và Hỏa.",0,,
2,Khi nào lục khí được gọi là lục dâm hay lục tà?,Không đủ dữ liệu để kết luận.,"Lục khí được gọi là lục dâm (hay lục tà) khi chúng trở nên thái quá, bất cập hoặc xuất hiện không đúng thời gian quy định, từ đó trở thành nguyên nhân gây bệnh cho con người.",1,"{
  ""lục_khí_lục_dâm_lục_tà"": {
    ""mô_tả_bệnh"": ""Khối u ác tính buồng trứng là một trong ba khối u ác tính lớn nhất của hệ thống sinh sản nữ. Buồng trứng nằm sâu trong vùng chậu, khó tiếp cận hoặc phát hiện, phức tạp trong mô và khó phát hiện khối u sớm. Khối u ác tính buồng trứng hiện nay còn thiếu phương pháp chẩn đoán hiệu quả.\nNguyên nhân của khối u ác tính buồng trứng không rõ ràng và có thể liên quan đến một số yếu tố sau: các yếu tố bên ngoài gây ung thư (bao gồm các yếu tố gây ung thư như hóa học, vật lý, sinh học); Các yếu tố nội tại của bệnh ung thư (bao gồm các yếu tố như chức năng miễn dịch, nội tiết, di truyền, tâm lý), cũng như rối loạn dinh dưỡng ăn uống và thói quen sống không lành mạnh.\nChẩn đoán có thể được xác nhận bằng siêu âm, X-quang, CT và MRI, cũng như kiểm tra bệnh lý.\nCác khối u ác tính buồng trứng có thể được điều trị bằng bốn phương pháp chính: phẫu thuật, xạ trị, hóa trị và y học cổ truyền Trung Quốc.\nTrong y học cổ truyền Trung Quốc, bệnh ung thư buồng trứng không có tên và thường được coi là thuộc phạm trù ruột và lá lách. Sau khi nước Cộng hòa Nhân dân Trung Hoa được thành lập, đặc biệt là trong những năm gần đây, nghiên cứu của y học cổ truyền Trung Quốc về khối u buồng trứng đã có tiến triển, người ta thường cho rằng khối u buồng trứng nên được xếp vào phạm trù \""ruột và bụng\"" của y học cổ truyền Trung Quốc. Nguyên nhân bệnh có liên quan đến các yếu tố bên ngoài như lục dâm, nội thương thất tình, liên quan đến rối loạn chức năng cơ quan do lao động quá độ gây ra, dẫn đến đờm thấp ngưng trệ, khí ứ máu bầm, tích tụ tà độc.\nLiệu pháp TCM có thể cải thiện đáng kể các triệu chứng và tình trạng thể chất nói trên ở hầu hết các bệnh nhân và tăng cường khả năng chống lại các tác dụng phụ của xạ trị và hóa trị bằng cách nhận ra sự khác biệt cá nhân giữa các bệnh nhân khác nhau một cách biện chứng và kết hợp với các liệu pháp khác nhau. Đảm bảo chất lượng cuộc sống cho bệnh nhân, củng cố và tăng cường hiệu quả điều trị của khối u."",
    ""bệnh"": ""U ác tính buồng trứng sau mãn kinh""
  }
}",1.0
3,Mức độ nặng nhẹ của bệnh ngoại cảm phụ thuộc vào mối tương quan nào?,Không đủ dữ liệu để kết luận.,"Mức độ nặng nhẹ của bệnh phụ thuộc vào sự tương quan giữa sức mạnh của nguyên nhân gây bệnh (tà khí) và sức chống đỡ, khả năng thích ứng của cơ thể (chính khí).",5,"{
  ""mức_độ_nặng_nhẹ"": {
    ""mức_độ_nặng_nhẹ"": null,
    ""bệnh"": ""'đau khi giao hợp'""
  }
}

---

{
  ""mức_độ_nặng_nhẹ"": {
    ""mức_độ_nặng_nhẹ"": null,
    ""bệnh"": ""Liên quan""
  }
}

---

{
  ""mức_độ_nặng_nhẹ"": {
    ""mức_độ_nặng_nhẹ"": null,
    ""bệnh"": ""Các chất không phụ thuộc đi kèm với sự phụ thuộc""
  }
}

---

{
  ""mức_độ_nặng_nhẹ"": {
    ""mức_độ_nặng_nhẹ"": null,
    ""bệnh"": ""Sự phụ thuộc vào các loại chất tâm thần khác""
  }
}

---

{
  ""mức_độ_nặng_nhẹ"": {
    ""mức_độ_nặng_nhẹ"": null,
    ""bệnh"": ""Giao diện AV""
  }
}",
4,Có bao nhiêu cách phân loại bệnh ngoại cảm chính được đề cập trong tài liệu?,Tài liệu không cung cấp thông tin về số lượng cách phân loại bệnh ngoại cảm chính. Bạn không đủ dữ liệu để kết luận.,"Có 4 cách phân loại chính: Ngoại cảm lục dâm, Ngoại cảm thương hàn, Ôn bệnh và Dịch lệ.",1,"{
  ""so_cach_phan_loai_benh_ngoai_cam"": 10326
}",0.0
5,Đặc điểm chung của các bệnh danh thuộc nhóm ngoại cảm lục dâm là gì?,"Xin lỗi, tôi không tìm được thông tin phù hợp trong cơ sở tri thức hiện có.","Tên gọi các bệnh chứng này luôn đi kèm với tên của lục dâm, ví dụ: phong hàn phạm kinh lạc, Bàng quang thấp nhiệt, Can Đởm thấp nhiệt.",0,,
6,Ngoại cảm lục dâm có bao nhiêu mức độ bệnh lý?,Dữ liệu không cung cấp thông tin về số mức độ bệnh lý của ngoại cảm lục dâm. Không đủ dữ liệu để kết luận.,"Ngoại cảm lục dâm có 3 mức độ: Cảm mạo, Thương và Trúng.",1,"{
  ""so_muc_do_benhly"": 0
}",1.0
7,Triệu chứng chính khi ngoại tà phạm vào tôn lạc là gì?,"Xin lỗi, tôi không tìm được thông tin phù hợp trong cơ sở tri thức hiện có.","Triệu chứng chính là đau nhức tại chỗ, tính chất đau lan tỏa và khó xác định chính xác vị trí.",0,,
8,Đặc điểm lâm sàng của tình trạng hàn tà phạm vào kinh Cân là gì?,"Xin lỗi, tôi không tìm được thông tin phù hợp trong cơ sở tri thức hiện có.","Triệu chứng bao gồm đau, đau co rút, kèm cảm giác tê bì và có thể giảm vận động tại chỗ do đau.",0,,
9,Phép trị bắt buộc cho nhóm bệnh lý ngoại tà phạm kinh Cân là gì?,"Xin lỗi, tôi không tìm được thông tin phù hợp trong cơ sở tri thức hiện có.",Phải sử dụng phép 'Phần châm' hoặc 'Thiêu châm'.,0,,
